1|1|1|JANEIRO|2015|15553|88546|72993|1102267,293|1135335,31179
2|2|2|JUNHO|2015|35489|15679|-19810|-9099,35|-9099,35
3|3|3|OUTUBRO|2015|12578|95314|82736|38071,81|54385,580585
4|1|4|ABRIL|2015|24578|21548|-3030|-1229,05|-1498,826475
5|2|2|SETEMBRO|2015|15789|54873|39084|17991,89|25701,414865
6|2|7|JANEIRO|2017|10000|20000|10000|124940|128688,2
7|1|1|JANEIRO|1234|11111|11122|11|89,881|92,57743
8|2|2|FEVEREIRO|1478|11110|11111|1|13,71|13,71
9|3|6|FEVEREIRO|4567|22222|311111|288889|4362512,789|4493388,17267
10|3|6|JANEIRO|4567|111111|11111|-100000|0|0
11|1|1|JANEIRO|1234|111111|11122|-99989|0|0
12|1|1|JANEIRO|4567|11111|11311|200|3020,2|3110,806
13|1|8|JANEIRO|1324|11111|22222|11111|138820,834|142985,45902
14|4|9|FEVEREIRO|1234|11111|11112|1|13,66|16,65837
15|4|9|ABRIL|4567|11111|11111|0|13,25|16,158375
16|1|1|ABRIL|1234|11111|11121|10|33,63|34,6389
17|2|2|JANEIRO|1234|11111|11131|20|22,45|22,45
18|5|10|MARÇO|1989|54321|54321|0|15,13|15,5839
19|5|10|ABRIL|1999|32105|50123|18018|272089,818|280252,51254
